class,category,orbit,free_cost,free_gates,free_wires,free_depth,w2_frontier,w1_frontier,capped_tradeoff,constructive,fold_premium,fold_proven
0x011a,prime:tangle,384,12,3,9,2,3g9w,4g11w,,shell,,
0x011b,prime:tangle,384,10,3,7,2,3g7w,3g7w,,,,
0x011e,dec:MUX,192,13,3,10,2,3g10w,4g13w;6g12w,yes,shell,5,False
0x011f,LTF,192,5,1,4,1,1g4w,3g8w;4g7w,yes,single-gate,,
0x012c,prime:tangle,384,13,3,10,2,4g11w,4g12w,,,,
0x012d,prime:tangle,768,12,3,9,2,3g10w,4g11w,,,,
0x012f,prime:tangle,384,11,3,8,2,3g8w,4g9w,,,,
0x013c,prime:tangle,384,12,3,9,2,3g9w,4g11w,,shell,,
0x013d,prime:tangle,384,11,3,8,2,3g8w,3g8w,,shell,,
0x013e,prime:tangle,384,13,3,10,2,4g12w,4g12w,,,,
0x013f,LTF,384,5,1,4,1,3g7w,3g7w,,single-gate,,
